Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.76005	Node7	0	14	LastDelay	0.120052	120052	1	6
1.76005	Node7	0	14	FullDelay	0.120052	120052	1	6
1.77005	Node7	0	2061	LastDelay	0.120052	120052	1	6
1.77005	Node7	0	2061	FullDelay	0.120052	120052	1	6
1.78005	Node7	0	3709	LastDelay	0.120052	120052	1	6
1.78005	Node7	0	3709	FullDelay	0.120052	120052	1	6
1.79005	Node7	0	1177	LastDelay	0.120052	120052	1	6
1.79005	Node7	0	1177	FullDelay	0.120052	120052	1	6
1.80005	Node7	0	5472	LastDelay	0.120052	120052	1	6
1.80005	Node7	0	5472	FullDelay	0.120052	120052	1	6
1.82005	Node7	0	635	LastDelay	0.120052	120052	1	6
1.82005	Node7	0	635	FullDelay	0.120052	120052	1	6
1.83005	Node7	0	1846	LastDelay	0.120052	120052	1	6
1.83005	Node7	0	1846	FullDelay	0.120052	120052	1	6
1.84005	Node7	0	9	LastDelay	0.120052	120052	1	6
1.84005	Node7	0	9	FullDelay	0.120052	120052	1	6
1.85005	Node7	0	228	LastDelay	0.120052	120052	1	6
1.85005	Node7	0	228	FullDelay	0.120052	120052	1	6
1.86005	Node7	0	8098	LastDelay	0.120052	120052	1	6
1.86005	Node7	0	8098	FullDelay	0.120052	120052	1	6
1.87005	Node7	0	108	LastDelay	0.120052	120052	1	6
1.87005	Node7	0	108	FullDelay	0.120052	120052	1	6
1.88005	Node7	0	2184	LastDelay	0.120052	120052	1	6
1.88005	Node7	0	2184	FullDelay	0.120052	120052	1	6
1.89005	Node7	0	933	LastDelay	0.120052	120052	1	6
1.89005	Node7	0	933	FullDelay	0.120052	120052	1	6
1.90005	Node7	0	997	LastDelay	0.120052	120052	1	6
1.90005	Node7	0	997	FullDelay	0.120052	120052	1	6
1.91005	Node7	0	18	LastDelay	0.120052	120052	1	6
1.91005	Node7	0	18	FullDelay	0.120052	120052	1	6
1.92005	Node7	0	1994	LastDelay	0.120052	120052	1	6
1.92005	Node7	0	1994	FullDelay	0.120052	120052	1	6
1.93005	Node7	0	70	LastDelay	0.120052	120052	1	6
1.93005	Node7	0	70	FullDelay	0.120052	120052	1	6
1.94005	Node7	0	2516	LastDelay	0.120052	120052	1	6
1.94005	Node7	0	2516	FullDelay	0.120052	120052	1	6
1.95005	Node7	0	3110	LastDelay	0.120052	120052	1	6
1.95005	Node7	0	3110	FullDelay	0.120052	120052	1	6
1.96005	Node7	0	1836	LastDelay	0.120052	120052	1	6
1.96005	Node7	0	1836	FullDelay	0.120052	120052	1	6
1.97005	Node7	0	7234	LastDelay	0.120052	120052	1	6
1.97005	Node7	0	7234	FullDelay	0.120052	120052	1	6
1.98005	Node7	0	7727	LastDelay	0.120052	120052	1	6
1.98005	Node7	0	7727	FullDelay	0.120052	120052	1	6
1.99005	Node7	0	48	LastDelay	0.120052	120052	1	6
1.99005	Node7	0	48	FullDelay	0.120052	120052	1	6
2.00005	Node7	0	5164	LastDelay	0.120052	120052	1	6
2.00005	Node7	0	5164	FullDelay	0.120052	120052	1	6
2.01005	Node7	0	1759	LastDelay	0.120052	120052	1	6
2.01005	Node7	0	1759	FullDelay	0.120052	120052	1	6
2.02005	Node7	0	4236	LastDelay	0.120052	120052	1	6
2.02005	Node7	0	4236	FullDelay	0.120052	120052	1	6
2.03005	Node7	0	82	LastDelay	0.120052	120052	1	6
2.03005	Node7	0	82	FullDelay	0.120052	120052	1	6
2.04005	Node7	0	281	LastDelay	0.120052	120052	1	6
2.04005	Node7	0	281	FullDelay	0.120052	120052	1	6
2.05005	Node7	0	1216	LastDelay	0.120052	120052	1	6
2.05005	Node7	0	1216	FullDelay	0.120052	120052	1	6
2.06005	Node7	0	214	LastDelay	0.120052	120052	1	6
2.06005	Node7	0	214	FullDelay	0.120052	120052	1	6
2.07005	Node7	0	3	LastDelay	0.120052	120052	1	6
2.07005	Node7	0	3	FullDelay	0.120052	120052	1	6
2.08005	Node7	0	5578	LastDelay	0.120052	120052	1	6
2.08005	Node7	0	5578	FullDelay	0.120052	120052	1	6
2.09005	Node7	0	1203	LastDelay	0.120052	120052	1	6
2.09005	Node7	0	1203	FullDelay	0.120052	120052	1	6
2.10005	Node7	0	18	LastDelay	0.0800521	80052.1	1	6
2.10005	Node7	0	18	FullDelay	0.120052	120052	2	6
2.11005	Node7	0	7031	LastDelay	0.120052	120052	1	6
2.11005	Node7	0	7031	FullDelay	0.120052	120052	1	6
2.12005	Node7	0	6039	LastDelay	0.120052	120052	1	6
2.12005	Node7	0	6039	FullDelay	0.120052	120052	1	6
2.13005	Node7	0	1091	LastDelay	0.120052	120052	1	6
2.13005	Node7	0	1091	FullDelay	0.120052	120052	1	6
2.15005	Node7	0	5884	LastDelay	0.120052	120052	1	6
2.15005	Node7	0	5884	FullDelay	0.120052	120052	1	6
