Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.810035	0	0	91	FullDelay	0.0800347	80034.7	1	4
0.820035	0	0	335	LastDelay	0.0800348	80034.8	1	4
0.820035	0	0	335	FullDelay	0.0800348	80034.8	1	4
0.830035	0	0	64	LastDelay	0.0800347	80034.7	1	4
0.830035	0	0	64	FullDelay	0.0800347	80034.7	1	4
0.840035	0	0	3737	LastDelay	0.0800348	80034.8	1	4
0.840035	0	0	3737	FullDelay	0.0800348	80034.8	1	4
0.850035	0	0	1011	LastDelay	0.0800348	80034.8	1	4
0.850035	0	0	1011	FullDelay	0.0800348	80034.8	1	4
0.860035	0	0	243	LastDelay	0.0800347	80034.7	1	4
0.860035	0	0	243	FullDelay	0.0800347	80034.7	1	4
0.870035	0	0	498	LastDelay	0.0800348	80034.8	1	4
0.870035	0	0	498	FullDelay	0.0800348	80034.8	1	4
0.880035	0	0	53	LastDelay	0.0800347	80034.7	1	4
0.880035	0	0	53	FullDelay	0.0800347	80034.7	1	4
0.890035	0	0	6898	LastDelay	0.0800348	80034.8	1	4
0.890035	0	0	6898	FullDelay	0.0800348	80034.8	1	4
0.900035	0	0	36	LastDelay	0.0800347	80034.7	1	4
0.900035	0	0	36	FullDelay	0.0800347	80034.7	1	4
0.910035	0	0	49	LastDelay	0.0800347	80034.7	1	4
0.910035	0	0	49	FullDelay	0.0800347	80034.7	1	4
0.920035	0	0	3	LastDelay	0.0800347	80034.7	1	4
0.920035	0	0	3	FullDelay	0.0800347	80034.7	1	4
0.930035	0	0	379	LastDelay	0.0800348	80034.8	1	4
0.930035	0	0	379	FullDelay	0.0800348	80034.8	1	4
0.940035	0	0	1634	LastDelay	0.0800348	80034.8	1	4
0.940035	0	0	1634	FullDelay	0.0800348	80034.8	1	4
0.950035	0	0	59	LastDelay	0.0800347	80034.7	1	4
0.950035	0	0	59	FullDelay	0.0800347	80034.7	1	4
0.960035	0	0	660	LastDelay	0.0800348	80034.8	1	4
0.960035	0	0	660	FullDelay	0.0800348	80034.8	1	4
0.970035	0	0	2904	LastDelay	0.0800348	80034.8	1	4
0.970035	0	0	2904	FullDelay	0.0800348	80034.8	1	4
0.980035	0	0	301	LastDelay	0.0800348	80034.8	1	4
0.980035	0	0	301	FullDelay	0.0800348	80034.8	1	4
0.990035	0	0	17	LastDelay	0.0800347	80034.7	1	4
0.990035	0	0	17	FullDelay	0.0800347	80034.7	1	4
1.00003	0	0	8910	LastDelay	0.0800348	80034.8	1	4
1.00003	0	0	8910	FullDelay	0.0800348	80034.8	1	4
1.01003	0	0	7198	LastDelay	0.0800348	80034.8	1	4
1.01003	0	0	7198	FullDelay	0.0800348	80034.8	1	4
1.02003	0	0	8822	LastDelay	0.0800348	80034.8	1	4
1.02003	0	0	8822	FullDelay	0.0800348	80034.8	1	4
1.03003	0	0	5168	LastDelay	0.0800348	80034.8	1	4
1.03003	0	0	5168	FullDelay	0.0800348	80034.8	1	4
1.04003	0	0	18	LastDelay	0.0800347	80034.7	1	4
1.04003	0	0	18	FullDelay	0.0800347	80034.7	1	4
1.05003	0	0	1388	LastDelay	0.0800348	80034.8	1	4
1.05003	0	0	1388	FullDelay	0.0800348	80034.8	1	4
1.06003	0	0	62	LastDelay	0.0800347	80034.7	1	4
1.06003	0	0	62	FullDelay	0.0800347	80034.7	1	4
1.07003	0	0	2814	LastDelay	0.0800348	80034.8	1	4
1.07003	0	0	2814	FullDelay	0.0800348	80034.8	1	4
1.08003	0	0	7573	LastDelay	0.0800348	80034.8	1	4
1.08003	0	0	7573	FullDelay	0.0800348	80034.8	1	4
1.09003	0	0	2895	LastDelay	0.0800348	80034.8	1	4
1.09003	0	0	2895	FullDelay	0.0800348	80034.8	1	4
1.10003	0	0	972	LastDelay	0.0800348	80034.8	1	4
1.10003	0	0	972	FullDelay	0.0800348	80034.8	1	4
1.11003	0	0	5929	LastDelay	0.0800348	80034.8	1	4
1.11003	0	0	5929	FullDelay	0.0800348	80034.8	1	4
1.12003	0	0	2074	LastDelay	0.0800348	80034.8	1	4
1.12003	0	0	2074	FullDelay	0.0800348	80034.8	1	4
1.13003	0	0	362	LastDelay	0.0800348	80034.8	1	4
1.13003	0	0	362	FullDelay	0.0800348	80034.8	1	4
1.14003	0	0	429	LastDelay	0.0800348	80034.8	1	4
1.14003	0	0	429	FullDelay	0.0800348	80034.8	1	4
1.15003	0	0	2033	LastDelay	0.0800348	80034.8	1	4
1.15003	0	0	2033	FullDelay	0.0800348	80034.8	1	4
1.16003	0	0	9268	LastDelay	0.0800348	80034.8	1	4
1.16003	0	0	9268	FullDelay	0.0800348	80034.8	1	4
1.17003	0	0	1	LastDelay	3.4716e-05	34.716	1	4
1.17003	0	0	1	FullDelay	0.0800347	80034.7	2	4
1.18003	0	0	947	LastDelay	0.0800348	80034.8	1	4
1.18003	0	0	947	FullDelay	0.0800348	80034.8	1	4
1.19003	0	0	52	LastDelay	0.0800347	80034.7	1	4
1.19003	0	0	52	FullDelay	0.0800347	80034.7	1	4
1.20003	0	0	73	LastDelay	0.0800347	80034.7	1	4
1.20003	0	0	73	FullDelay	0.0800347	80034.7	1	4
1.21003	0	0	1555	LastDelay	0.0800348	80034.8	1	4
1.21003	0	0	1555	FullDelay	0.0800348	80034.8	1	4
1.22003	0	0	25	LastDelay	0.0800347	80034.7	1	4
1.22003	0	0	25	FullDelay	0.0800347	80034.7	1	4
1.23003	0	0	4574	LastDelay	0.0800348	80034.8	1	4
1.23003	0	0	4574	FullDelay	0.0800348	80034.8	1	4
1.24003	0	0	9279	LastDelay	0.0800348	80034.8	1	4
1.24003	0	0	9279	FullDelay	0.0800348	80034.8	1	4
1.26003	0	0	159	LastDelay	0.0800347	80034.7	1	4
1.26003	0	0	159	FullDelay	0.0800347	80034.7	1	4
1.27003	0	0	1928	LastDelay	0.0800348	80034.8	1	4
1.27003	0	0	1928	FullDelay	0.0800348	80034.8	1	4
1.28003	0	0	7	LastDelay	0.0800347	80034.7	1	4
1.28003	0	0	7	FullDelay	0.0800347	80034.7	1	4
1.29003	0	0	334	LastDelay	0.0800348	80034.8	1	4
1.29003	0	0	334	FullDelay	0.0800348	80034.8	1	4
1.30003	0	0	826	LastDelay	0.0800348	80034.8	1	4
1.30003	0	0	826	FullDelay	0.0800348	80034.8	1	4
1.31003	0	0	26	LastDelay	0.0800347	80034.7	1	4
1.31003	0	0	26	FullDelay	0.0800347	80034.7	1	4
1.32003	0	0	1154	LastDelay	0.0800348	80034.8	1	4
1.32003	0	0	1154	FullDelay	0.0800348	80034.8	1	4
1.33003	0	0	358	LastDelay	0.0800348	80034.8	1	4
1.33003	0	0	358	FullDelay	0.0800348	80034.8	1	4
1.34003	0	0	5003	LastDelay	0.0800348	80034.8	1	4
1.34003	0	0	5003	FullDelay	0.0800348	80034.8	1	4
1.35003	0	0	681	LastDelay	0.0800348	80034.8	1	4
1.35003	0	0	681	FullDelay	0.0800348	80034.8	1	4
1.36003	0	0	4659	LastDelay	0.0800348	80034.8	1	4
1.36003	0	0	4659	FullDelay	0.0800348	80034.8	1	4
1.37003	0	0	504	LastDelay	0.0800348	80034.8	1	4
1.37003	0	0	504	FullDelay	0.0800348	80034.8	1	4
1.38003	0	0	2374	LastDelay	0.0800348	80034.8	1	4
1.38003	0	0	2374	FullDelay	0.0800348	80034.8	1	4
1.39003	0	0	4562	LastDelay	0.0800348	80034.8	1	4
1.39003	0	0	4562	FullDelay	0.0800348	80034.8	1	4
1.40003	0	0	45	LastDelay	0.0800347	80034.7	1	4
1.40003	0	0	45	FullDelay	0.0800347	80034.7	1	4
1.41003	0	0	6518	LastDelay	0.0800348	80034.8	1	4
1.41003	0	0	6518	FullDelay	0.0800348	80034.8	1	4
1.42003	0	0	4546	LastDelay	0.0800348	80034.8	1	4
1.42003	0	0	4546	FullDelay	0.0800348	80034.8	1	4
1.43003	0	0	166	LastDelay	0.0800347	80034.7	1	4
1.43003	0	0	166	FullDelay	0.0800347	80034.7	1	4
1.44003	0	0	4996	LastDelay	0.0800348	80034.8	1	4
1.44003	0	0	4996	FullDelay	0.0800348	80034.8	1	4
1.45003	0	0	126	LastDelay	0.0800347	80034.7	1	4
1.45003	0	0	126	FullDelay	0.0800347	80034.7	1	4
1.46003	0	0	7490	LastDelay	0.0800348	80034.8	1	4
1.46003	0	0	7490	FullDelay	0.0800348	80034.8	1	4
1.47003	0	0	3107	LastDelay	0.0800348	80034.8	1	4
1.47003	0	0	3107	FullDelay	0.0800348	80034.8	1	4
1.48003	0	0	41	LastDelay	0.0800347	80034.7	1	4
1.48003	0	0	41	FullDelay	0.0800347	80034.7	1	4
1.49003	0	0	4377	LastDelay	0.0800348	80034.8	1	4
1.49003	0	0	4377	FullDelay	0.0800348	80034.8	1	4
1.50003	0	0	1052	LastDelay	0.0800348	80034.8	1	4
1.50003	0	0	1052	FullDelay	0.0800348	80034.8	1	4
1.51003	0	0	963	LastDelay	0.0800348	80034.8	1	4
1.51003	0	0	963	FullDelay	0.0800348	80034.8	1	4
1.52003	0	0	2656	LastDelay	0.0800348	80034.8	1	4
1.52003	0	0	2656	FullDelay	0.0800348	80034.8	1	4
1.53003	0	0	5109	LastDelay	0.0800348	80034.8	1	4
